hecho_id,sexo,identidad_genero,identidad_genero_otro,tr_edad,mayor_18_anios,tipo_involucrado
11666,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11667,Masculino,Varón,No especificado,60-64,Si,victima
11667,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11668,Masculino,Varón,No especificado,15-19,Si,victima
11668,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11668,Masculino,Varón,No especificado,20-24,Si,victima
11670,Masculino,Varón,No especificado,20-24,Si,victima
11670,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11671,Masculino,Varón,No especificado,30-34,Si,victima
11671,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11672,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11672,Masculino,Varón,No especificado,20-24,Si,victima
11673,Femenino,Mujer,No especificado,30-34,Si,victima
11673,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11674,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11674,Masculino,Varón,No especificado,90 y más,Si,victima
11675,Masculino,Varón,No especificado,15-19,Si,victima
11675,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11676,Masculino,Varón,No especificado,40-44,Si,victima
11676,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11677,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11677,Masculino,Varón,No especificado,35-39,Si,victima
11678,Femenino,Mujer,No especificado,50-54,Si,victima
11678,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11679,Masculino,Varón,No especificado,35-39,Si,victima
11679,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11680,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11680,Masculino,Varón,No especificado,35-39,Si,victima
11685,Masculino,Varón,No especificado,25-29,Si,victima
11685,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11686,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11686,Masculino,Varón,No especificado,25-29,Si,victima
11687,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11687,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11687,No corresponde,No corresponde,No especificado,Sin determinar,Sin determinar,victima
11687,Masculino,Varón,No especificado,25-29,Si,victima
