localidad_id,localidad_nombre
60.0,Merlo
10.0,Concarán
150.0,San Luis
60.0,Fraile Pintado
60.0,San Salvador de Jujuy (Est. Jujuy)
180.0,San Pedro (Est. San Pedro de Jujuy)
90.0,Perico
30.0,Caimancito
80.0,Libertador Grl. San Martín (Est. Ledesma)
20.0,El Aguilar
40.0,Palpalá (Est. Grl. Manuel N. Savio)
30.0,Hipólito Yrigoyen (Est. Iturbe)
40.0,Humahuaca
90.0,Viedma
450.0,General Roca
30.0,El Bolsón
60.0,San Carlos de Bariloche
390.0,Cinco Saltos
400.0,Cipolletti
50.0,Ingeniero Jacobacci
20.0,Río Colorado
10.0,Allen
110.0,Santiago del Estero
30.0,Fernández
10.0,Garza
90.0,La Banda
20.0,Los Telares
10.0,Bandera
20.0,Nueva Francia
80.0,Tapso
10.0,Estación Atamisqui
30.0,Selva
130.0,Termas de Río Hondo
20.0,Sumampa
10.0,El Mojón
10.0,Campo Gallo
40.0,Frías
30.0,Gobernador Igr. Valentín Virasoro
10.0,Alba Posse
10.0,La Rioja
10.0,Ulapes
10.0,Chilecito
10.0,Presidencia Roque Sáenz Peña
10.0,Avia Terai
10.0,Tres Isletas
10.0,Presidencia de la Plaza
60.0,Resistencia
10.0,Barranqueras
50.0,Puerto Vilelas
20.0,Machagai
30.0,La Leonesa
20.0,General José de San Martín
10.0,Quitilipi
10.0,Colonia Aborigen
60.0,Pampa del Indio
30.0,Villa Angela
40.0,Makallé
10.0,Las Breñas
60.0,Juan José Castelli
40.0,Napenay
40.0,Fontana
20.0,Campo Largo
170.0,Ibarlucea
130.0,Fighiera
120.0,Firmat
110.0,Roldán
10.0,Cafayate
30.0,Federal
30.0,General Galarza
60.0,Concordia
70.0,Federación
40.0,Gualeguay
200.0,San Benito
160.0,Paraná
40.0,Concepción del Uruguay
10.0,San José de Feliciano
10.0,Chajarí
70.0,Gualeguaychú
230.0,Seguí
80.0,Villaguay
120.0,General Ramírez
20.0,Estación Lazo
70.0,Coronel Cornejo
30.0,Los Toldos
20.0,Cobos
10.0,Itatí
30.0,Tres Lagos
10.0,Guachipas
90.0,Embarcación
20.0,Colonia Alicia
140.0,Puerto Las Cuevas
110.0,Hernandarias
40.0,La Paz
20.0,San Patricio del Chañar
10.0,Córdoba
40.0,Capilla del Monte
250.0,Villa Carlos Paz
170.0,Las Higueras
110.0,Oliva
190.0,Noetinger
210.0,Santa Rosa de Calamuchita
170.0,Villa María
10.0,Chancani
270.0,Las Varillas
20.0,Altos de Chipión
40.0,Alpa Corral
50.0,Cruz del Eje
190.0,Río Segundo
230.0,Río Cuarto
30.0,Alcira (Est. Gigena)
140.0,Jesús María
240.0,Valle Hermoso
160.0,Pilar
50.0,Colonia Caroya
360.0,San Francisco
80.0,La Playosa
180.0,Villa Nueva
200.0,Villa de Soto
200.0,Obispo Trejo
50.0,San Francisco del Chañar
310.0,Villa General Belgrano
160.0,Ucacha
10.0,Ambul
80.0,Despeñaderos (Est. Dr. Lucas A. de Olmos)
80.0,Canals
200.0,Ordoñez
160.0,Paso Viejo
110.0,Sinsacate
150.0,Río Tercero
50.0,Puerto Pilcomayo
112020.0,25 de Mayo
35010.0,Conhello
130.0,Las Toscas
320.0,Zavalla
50.0,El Maitén
10.0,Ciudad de Buenos Aires
10.0,Ituzaingó
10.0,La Matanza
30.0,La Plata
60.0,Médanos
10.0,Hurlingham
50.0,San Nicolás de los Arroyos
10.0,Moreno
10.0,Ensenada
10.0,Malvinas Argentinas
10.0,Lomas de Zamora
40.0,Santa Teresita - Mar del Tuyú
30.0,Navarro
10.0,General San Martín
10.0,Florencio Varela
10.0,Esteban Echeverría
110.0,Mar del Plata
80.0,Open Door (Est. Dr. Domingo Cabred)
10.0,Tres de Febrero
30.0,General Rodríguez
10.0,Bahía Blanca
10.0,Merlo
10.0,José C. Paz
10.0,Morón
10.0,Lanús
10.0,Avellaneda
10.0,Vicente López
30.0,Campana
10.0,Quilmes
10.0,Berazategui
20.0,La Capilla
10.0,Escobar
10.0,Tigre
30.0,Carlos Casares
10.0,Presidente Perón
40.0,Pilar
70.0,Batán
60.0,San Carlos de Bolívar (Est. Bolívar)
20.0,Azul
10.0,Rauch
40.0,Miramar
10.0,San Isidro
50.0,Zárate
20.0,General Las Heras (Est. Las Heras)
20.0,Mar de Ajó - San Bernardo
10.0,Country Club El Rodeo
20.0,Marcos Paz
10.0,San Miguel
70.0,Olavarría
60.0,Luján
40.0,Ramallo
100.0,Pergamino
100.0,Tres Arroyos
50.0,Tandil
30.0,Carmen de Patagones
20.0,San Vicente
10.0,Balcarce
10.0,Dolores
20.0,Mercedes
10.0,Baradero
10.0,Ezeiza
50.0,Coronel Brandsen
20.0,Benito Juárez (Est. Juárez)
10.0,Berisso
10.0,San Fernando
10.0,Coronel Pringles (Est. Pringles)
40.0,Lobos
10.0,Colón
10.0,General Juan Madariaga
40.0,Necochea - Quequén
60.0,Santa Clara del Mar
50.0,General Arenales
20.0,Villa Gesell
10.0,Bajo Hondo
60.0,Saladillo
10.0,Arrecifes
30.0,Cañuelas
10.0,Carmen de Areco
20.0,Coronel Suárez
20.0,Capilla del Señor (Est. Capilla)
20.0,General Pinto
100.0,Roberts
110.0,Sierras Bayas
80.0,Pehuajó
50.0,San Pedro
10.0,Castelli
10.0,Chascomús
50.0,Junín
10.0,Laguna Yema
40.0,El Carmen
100.0,Santa Catalina
40.0,Calilegua
140.0,Timbúes
100.0,9 de Julio
50.0,Puente de Hierro
10.0,Colonia Segovia (Est. Amigorena)
10.0,Villa Ibáñez
20.0,Santa Lucía
110.0,Uspallata
80.0,Montecaseros
110.0,Tres Porteñas
90.0,San Roque
150.0,Monte Comán
50.0,Estanislao del Campo
20.0,Tupelí
20.0,Cholila
30.0,Pampa del Infierno
30.0,El Sauzalito
30.0,General Pinedo
70.0,Miraflores
20.0,Villa El Palmar
50.0,Las Garcitas
20.0,Villa Berthet
30.0,La Ciénaga y Barrio San Rafael
20.0,La Verde
80.0,Nueva Pompeya
10.0,Alberdi
50.0,Gobernador Roca
150.0,Santa María
30.0,Centenario
60.0,Victoria
100.0,Ubajay
60.0,Villa Clara
10.0,Candelaria
110.0,San Martín
50.0,Villa Kilómetro 213
10.0,Junín de los Andes
80.0,Oberá
110.0,Villa  Padre Monti
20.0,Campamento Vespucio
20.0,Isla de Cañas
100.0,General Ballivián
10.0,Chicoana
10.0,Aguilares
20.0,Estación Aráoz
60.0,Santa Lucía
20.0,El Chañar
10.0,La Cocha
50.0,Quines
130.0,Villa Mantero
20.0,La Paz
180.0,Tinogasta
40.0,San Francisco de Laishi
10.0,Bowen
20.0,Cululú
130.0,San Justo
60.0,Santa Rosa
90.0,Panambí
560.0,Villa Regina
80.0,San Javier
30.0,Gran Guardia
,Localidad sin determinar
40.0,Laguna Limpia
20.0,Basail
280.0,Soldini
30.0,Barrancas
10.0,José Rafael Gómez (Garabí)
10.0,Alvear
50.0,Monte Caseros
370.0,Cervantes
20.0,El Espinillo
30.0,Rawson
30.0,Paso de Indios
140.0,Puerto Yeruá
50.0,Colonia Yeruá
20.0,Picún Leufú
60.0,Tarumá
100.0,Villa Río Bermejito
20.0,Colonia Benítez
230.0,Josefina
30.0,Arrufo
120.0,Gaboto
20.0,Carlos Pellegrini
10.0,Río Grande
10.0,Sauce
70.0,La Esperanza
10.0,Aldea Brasilera
140.0,Rivadavia
140020.0,Toay
70.0,Vista Flores
20.0,Loncopué
20.0,Belén
40.0,La Unión
60.0,Tortugas
50.0,Esperanza
170.0,Pilar
130.0,Gálvez
10.0,Pinamar
70.0,Pedro Luro
30.0,Lobería
10.0,Barrio Parque Almirante Irizar (Ap. Kilómetro 61)
60.0,Rojas
40.0,Lima
50.0,General Villegas (Est. Villegas)
10.0,Laprida
60.0,Villa Ramallo
10.0,Barrio Ruta 24 Kilómetro 10
10.0,Ayacucho
20.0,Tapalqué
40.0,Gobernador Ugarte
50.0,Máximo Paz
20.0,Roque Pérez
20.0,Chacabuco
10.0,Carlos Tejedor
10.0,De la Canal
10.0,Chivilcoy
10.0,Bragado
80.0,Lincoln
40.0,Magdalena
50.0,Monte Quemado
70.0,Pozo Hondo
100.0,Quimili
30.0,Nueva Esperanza
70.0,Piedrabuena
10.0,Bartolomé de las Casas
30.0,Anjullón
10.0,Chamical
30.0,Milagro
60.0,Clodomira
20.0,San Miguel
10.0,Concepción
20.0,Ituzaingó
100.0,Villa Media Agua
190.0,Sauce Viejo
100.0,Desvío Arijón
120.0,María Susana
180.0,Rama Caída
20.0,Bañado de Ovanta
10.0,Blanco Encalada
20.0,Puerto Santa Cruz
20.0,Caucete
10.0,Lavalle
30.0,Villa de Trancas
100.0,Hasenkamp
100.0,Los Charrúas
40.0,San José
90.0,Pujato
20.0,Playa Unión
30.0,Cushamen Centro
50.0,Deán Funes
270.0,Villa Giardino
200.0,El Tío
10.0,Alta Gracia
290.0,Vicuña Mackenna
90.0,Las Perdices
210.0,Villa Sarmiento
180.0,Marcos Juárez
10.0,Alejo Ledesma
10.0,General Levalle
30.0,Capilla de Sitón
300.0,Morteros
120.0,Villa Huidobro (Est. Cañada Verde)
190.0,Malvinas Argentinas
110.0,Fiambalá
110.0,Santa Magdalena (Est. Jovita)
100.0,Cruz Alta
60.0,Bell Ville
100.0,Quilino
20.0,Bialet Massé
20.0,Arias
230.0,Tanti
240.0,Lehmann
20.0,Perito Moreno
20.0,Goya
10.0,Loreto
10.0,El Sombrero
30.0,San Cosme
10.0,Mburucuyá
90.0,Laguna Larga
20.0,Anisacate
180.0,La Serranita
10.0,Apolinario Saravia
10.0,Cerrillos
10.0,Campo Santo
100.0,Santa Victoria Este
140.0,Villa San Justo
110.0,San Ignacio
160.0,Villa General Güemes
20.0,Empedrado
30.0,José de San Martín
30.0,Nuestra Señora del Rosario de Caá Catí
90.0,Oasis
60.0,Carreras
110.0,Díaz
140.0,Pueblo Santa Lucía
30.0,Palo Santo
10.0,Puerto San Julián
10.0,El Rincón
20.0,Santa Rosa
10.0,Calchaquí
110.0,Villa  Elisa
80.0,Diamante
10.0,Aranguren
180.0,Serrezuela
80.0,Santa Ana
120.0,Hersilia
80.0,Laguna Paiva
10.0,Angastaco
140.0,Vista Alegre Sur
20.0,Cordón del Plata
100.0,La Sarita
40.0,Santa Lucía
140.0,San Jorge
290.0,Venado Tuerto
40.0,Malargüe
90.0,Juan G. Bazán
20.0,El Carril
10.0,Barrio Esperanza
100.0,Ricardone
150.0,General Lagos
140.0,Totoras
190.0,Maciel
90.0,Villa Minetti
170.0,Vera (Est. Gobernador Vera)
100.0,Perdriel
80.0,Costa de Araujo
20.0,General Conesa
30.0,Chimpay
70.0,Lamarque
20.0,Concepción de la Sierra
110.0,Posta Cambio Zalazar
160.0,Villa Tulumaya
10.0,El Espinillo
10.0,La Escondida
10.0,Ciervo Petiso
10.0,La Clotilde
50.0,Taco Pozo
10.0,General Vedia
360.0,Sunchales
10.0,Bajada del Agrio
10.0,Añatuya
50.0,Los Juríes
10.0,Villa Unión
40.0,Puerto Tirol
10.0,Bandera Bajada
120.0,Tintina
20.0,Herrera
80.0,Gödeken
100.0,Humboldt
150.0,Malabrigo
28010.0,Catriló
100.0,Villa Burruyacú
20.0,Chañar
40.0,Posadas (Municipio de Garupá )
60.0,Puerto Rico
30.0,Garuhapé
100.0,Villa Quinteros
50.0,Simoca
30.0,Monteros
40.0,Santa Ana
30.0,Arcadia
20.0,Barrio Lomas de Tafí
40.0,Garmendia
10.0,Barrio El Cruce
190.0,San Antonio de Obligado
210.0,Villa Ana
190.0,Santa Teresa
80.0,Santiago de Liniers
30.0,Tamberías
80.0,Puerto Deseado
20.0,Gobernador Gregores
90.0,Corral de Bustos
70.0,Cosquín
260.0,Santa Catalina (Est. Holmberg)
170.0,Pozo del Molle
320.0,Villa Los Llanos
180.0,San Antonio de Arredondo
210.0,Villa del Rosario
70.0,Bella Italia
150.0,San Martín de las Escobas
30.0,Casas
60.0,Río Colorado
20.0,Los Sarmientos
10.0,General Guido
60.0,Salto
10.0,General Belgrano
40.0,San Andrés de Giles
30.0,General Daniel Cerri (Est. General Cerri)
10.0,Barrio Colinas Verdes
10.0,Alberti (Est. Andrés Vaccarezza)
10.0,General Alvear
20.0,Monte Hermoso
100.0,25 de Mayo
126070.0,Rancul
60.0,Embalse
60.0,San Carlos Minas
120.0,La Falda
340.0,Villa Rumipal
240.0,La Paquita
10.0,Almafuerte
110.0,La Cumbre
70.0,La Palestina
100.0,Oliveros
40.0,Los Barriales
60.0,Orense
20.0,Guandacol
20.0,Desiderio Tello
50.0,Trenque Lauquen
10.0,Comandante Luis Piedrabuena
50.0,Cerrito
40.0,San José de Metán (Est. Metán)
270.0,Santa Isabel
30.0,Gaiman
100.0,Los Campamentos
100.0,Los Ralos
20.0,Campo Grande
40.0,Los Miches
20.0,Villa Pehuenia
60.0,La Cañada
20.0,Lamadrid
120.0,Jocolí
50.0,La Quiaca
30.0,Iglesia
80.0,San José de Jáchal
30.0,Beravebú
50.0,San Antonio Oeste
60.0,Los Menucos
30.0,Barda del Medio
80.0,Barrio Chacra Monte
60.0,Sierra Grande
70.0,Pomán
30.0,El Bordo
20.0,La Merced
170.0,Villa General Manuel Belgrano
60.0,Carboncito
70020.0,Gral. M.J. Campos
10.0,Alcorta
30.0,Las Lajas
20.0,Tricao Malal
60.0,Puerto Mado
10.0,Corzuela
70.0,Presidencia Roca
10.0,Charata
20.0,Dolavon
130.0,San Martín I
130.0,Nuestra Señora de Talavera
10.0,Bovril
40.0,Fortín Olmos
110.0,Los Quirquinchos
30.0,Arroyo Leyes
20.0,Gobernador Costa
20.0,Bustinza
20.0,Amenábar
60.0,San Carlos
20.0,Arroyo del Medio
90.0,Nonogasta
20.0,Colón
10.0,Antillá
10.0,Buena Vista
90.0,Pomona
140.0,Funes
30.0,Las Chacritas
20.0,Abra Pampa
10.0,Aimogasta
20.0,Nemesio Parma
110.0,Yuto
20.0,Bahía Bustamante
50.0,Rada Tilly
440.0,General Fernández Oro
120.0,Villa del Totoral
130.0,Villa de María
280.0,Unquillo
70.0,Luis Palacios (Est. La Salada)
80.0,La Florida
10.0,San Luis del Palmar
30.0,La Cruz
70.0,La Trinidad
20.0,Monteagudo
290.0,Villa Allende
10.0,Arroyo Algodón
60.0,Bulnes
20.0,El Alcázar
70.0,Ruiz de Montoya
70.0,Santa Rosa de Leales
80.0,Villa Fiad - Ingenio Leales
30.0,Cerro Corá
370.0,Saturnino María Laspiur
160.0,Tancacha
70.0,El Bracho
10.0,Barrio Casa Rosada
360.0,Villa Yacanto
110.0,Los Cóndores
90.0,Lago Puelo
90.0,Villa Benjamín Aráoz
40.0,Colombres
10.0,Barrio San Felipe
10.0,Alpachiri
20.0,Villa Carmela
60.0,Tres Lagunas
40.0,Ingeniero Forres (Est. Chaguar Punco)
10.0,Brea Pozo
10.0,Villa San Martín (Est. Loreto)
20.0,Las Delicias
154040.0,General Acha
10.0,Alto de la Sierra
60.0,Villa San Lorenzo
210.0,Malagueño
40.0,Villa General Mitre (Est. Pinto)
110.0,Pueblo Andino
100.0,Godoy
100.0,Colonia Cello
20.0,Colonia Elisa
20.0,Buta Ranquil
30.0,San Bernardo
20.0,Huacalera
70.0,Icaño
10.0,Andacollo
50.0,Salvador María
10.0,Barrio Santa Rosa
30.0,Tomás Jofré
20.0,Puerto Paraná
40.0,Lomas del Río Luján (Est. Río Luján)
40.0,La Emilia
60.0,Villa Laguna La Brava
10.0,Capitán Sarmiento
40.0,Olta
20.0,Agustina
60.0,La Angelita
60.0,San Mauricio
30.0,Pellegrini
20.0,Carlos Keen
40.0,Juan José Paso
50.0,Parada Orlando
30.0,Daireaux
50.0,Tilcara
20.0,Ceibas
70.0,Rivadavia
20.0,Alto Verde
30.0,Herradura
40.0,Las Perlas
300.0,Villa Cañás
80.0,Grutly
130.0,Hughes
220.0,Humberto Primo
110.0,Elortondo
230.0,San Carlos Centro
60.0,Villa Paranacito
40.0,Santa Cruz
50.0,Barrio U.T.A. II
40.0,Manuel García Fernández
20.0,Cortaderas
40.0,Ingenio Fronterita
200.0,Villa Dolores
200.0,Mendiolaza
150.0,La Calera
30.0,Laboulaye
30.0,Cañada de Gómez
290.0,Villa Amelia
250.0,San Gregorio
240.0,San Genaro
60.0,Manantiales
150.0,Río del Valle
80.0,Santa Elena
20.0,Carpintería
20.0,San Lorenzo
50.0,Villa Barboza - Villa Nacusi
80.0,Valle Azul
10.0,La Caldera
80.0,7 de Abril
50.0,Río Seco
90.0,San José
100.0,Rosario del Tala
70.0,Puerto Pinares
77020.0,Bernasconi
10.0,Colonia Victoria
30.0,Dos de Mayo Núcleo I
210.0,Murphy
60.0,Felicia
270.0,San Jerónimo Norte
50.0,San Cayetano
40.0,Palmar Grande
30.0,Pozo de Maza
40.0,Doctor Ricardo Rojas
70.0,Correa
30.0,Colonias Unidas
50.0,Pampa Almirón
50.0,Fuerte Esperanza
240.0,Saldán
90.0,Huanchillas
50.0,Berrotarán
190.0,Montecristo
10.0,Colonia Dora
240.0,Río Primero
180.0,Morrison
60.0,Charbonier
130.0,Silvio Pellico
150.0,Isla Verde
30.0,Estación Tacañitas
70.0,Pampa de los Guanacos
110.0,Los Quiroga
30.0,Villa Ojo de Agua
30.0,Punta Alta (Est. Almirante Solier)
120.0,Sierra de los Padres
100.0,Los Zorros
90.0,Olivares de San Nicolás
70.0,Monterrico
50.0,Sauce de Luna
10.0,Atocha
10.0,Caminiaga
10.0,General La Madrid
20.0,Salliqueló
20.0,San Miguel del Monte (Est. Monte)
50.0,Leandro N. Alem
10.0,Conesa
10.0,Las Toninas
10.0,Lezama
160.0,Sastre
10.0,Coronel Vidal
20.0,San Antonio de Areco
20.0,Tres Lomas
10.0,Acevedo
10.0,Alfredo Demarchi (Est. Facundo Quiroga)
126060.0,Quetrequén
30.0,Colonia Tinco
20.0,San Antonio de los Cobres
80.0,Urundel
70.0,Urdampilleta
20.0,Tolhuin
80.0,La Libertad
280.0,Teodelina
60.0,Profundidad
20.0,Junín
40.0,Diadema Argentina
70.0,Río Mayo
10.0,El Bobadal
10.0,Beltrán
20.0,San Pedro
20.0,Azara
40.0,Misión Tacaaglé
10.0,Andalhualá
60.0,La Paz
60.0,Puesto del Marquéz
40.0,Wanda
60.0,Chabas
30.0,Laguna Naick-Neck
60.0,Parada Robles - Pavón
30.0,Ranchos
70.0,Oriente
10.0,Arroyo de la Cruz
40.0,Tornquist
90.0,Villa Larca
10.0,Coronel Du Graty
20.0,Los Frentones
10.0,Chorotis
50.0,Chalicán
70.0,Famatina
40.0,Choele Choel
360.0,Catriel
90.0,Las Cejas
90.0,Larroque
20.0,Calingasta
10.0,Barrio Ruta 40
40.0,Balnearia
210.0,Santa María de Punilla
110.0,Sebastián Elcano
250.0,Salsipuedes
40.0,Cerro Azul
30.0,Gastre
40.0,Mocoretá
10.0,El Jardín
20.0,Colonia Anguinán
170.0,Los Surgentes
100.0,Las Tapias
60.0,Colonia Tirolesa
150.0,Oncativo
50.0,Mártires
140.0,Puerta de San José
70.0,James Craik
60.0,Diego de Rojas
10.0,Conscripto Bernardi
10.0,Colonia Gutiérrez
140.0,María Grande
70.0,Hipólito Yrigoyen
190.0,Monigotes
80.0,Chovet
20.0,Arroyo Aguiar
20.0,Macachín
20.0,Toay
70.0,San Martín
30.0,General Pico
20.0,Copo Quile
100.0,Las Lajitas
50.0,Los Blancos
20.0,El Tipal y La Almudena
10.0,Carpintería
20.0,El Charco
30.0,Alto Río Senguer
90.0,Coronel Bogado
120.0,San Jerónimo Sud
30.0,Álvarez
110.0,Margarita
30.0,Lavalle
20.0,El Piquete
100.0,La Carlota
350.0,Sacanta
50.0,Brinkmann
320.0,Washington
190.0,San Ignacio (Loteo San Javier)
10.0,Calchín
50.0,Gobernador Crespo
10.0,Chepes
10.0,Gan Gan
190.0,Monte Buey
330.0,Villa  La Bolsa
50.0,Bouwer
130.0,Simbolar
380.0,Chichinales
30.0,Ñorquincó
240.0,Sampacho
290.0,Villa Parque Siquimán
80.0,Yavi
160.0,La Granja
999.0,Sin determinar
170.0,El Arañado
180.0,San Agustín
50.0,Villa Mazán
70.0,General Cabrera
80.0,Impira
40.0,La Consulta
30.0,El Mollar
10.0,Amaicha del Valle
70.0,Las Rabonas
10.0,Henderson
20.0,General Lavalle
60.0,Pigüé
10.0,Concepción del Bermejo
40.0,Guaminí
90.0,Villa La Punta
50.0,Carmen
40.0,9 de Julio
70.0,Nogoyá
20.0,Villa El Salvador - Villa Sefair
60.0,Villa San Agustín
40.0,La Viña
80.0,Dragones
90.0,Lucio V. López
150.0,Villa Libertador San Martín
40.0,Monte Nievas
40.0,Suncho Corral
30.0,Crnel. Hilario Lagos
550.0,Villa Manzano
50.0,Las Catitas (Est. J. N. Lencinas)
140.0,Vichigasta
40.0,Río Pico
50.0,Portón Negro
80.0,Carmen del Sauce
30.0,Ataliva
460.0,Ingeniero Luis A. Huergo
40.0,General Acha
30.0,Puerto Pirámide
250.0,María Juana
60.0,Riacho He-He
30.0,El Naranjo
90.0,San Jaime de la Frontera
70.0,Villa Domínguez
10.0,Colonia Juliá y Echarren
480.0,Mainqué
50.0,Sierra Colorada
150.0,Media Naranja
30.0,Arroyito
250.0,La Tordilla
270.0,Villa Fontana
120.0,Luque
190.0,San Esteban
120.0,Villa Gutiérrez
10.0,Cruce Caballero
20.0,Itacaruaré
50.0,Piedras Blancas
30.0,El Cóndor
70.0,Pueblo Illia
40.0,Palma Sola
120.0,Santo Pipó
110.0,La Para
40.0,Quemú-Quemú
70.0,Los Helechos
30.0,San Clemente del Tuyú
50.0,Huanguelén
10.0,Domselaar
30.0,San Cayetano
20.0,Suipacha
10.0,Balneario Orense
10.0,Esperanza 
