id_hecho,localidad_id,anio,mes,fecha_hecho,hora_hecho,tipo_lugar,tipo_lugar_otro,tipo_lugar_ampliado,motivo_origen_registro,motivo_origen_registro_otro
16558,10.0,2018,1,2018-01-26,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16559,20.0,2018,1,2018-01-27,11:11:11,Sin determinar,No especificado,Sin determinar,Intervención policial,No especificado
16560,10.0,2018,1,2018-01-28,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16561,10.0,2018,1,2018-01-29,11:11:11,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16562,110.0,2018,1,2018-01-04,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16563,10.0,2018,1,2018-01-29,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16564,10.0,2018,1,2018-01-30,11:11:11,Domicilio particular,No especificado,Domicilio particular,Denuncia particular,No especificado
16565,10.0,2018,1,2018-01-30,11:11:11,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16566,10.0,2018,1,2018-01-31,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16567,20.0,2018,1,2018-01-31,11:11:11,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16568,10.0,2018,1,2018-01-31,11:11:11,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16569,10.0,2018,1,2018-01-31,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16570,10.0,2018,1,2018-01-16,11:11:11,Sin determinar,No especificado,Sin determinar,Intervención policial,No especificado
16571,10.0,2018,1,2018-01-19,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16572,10.0,2018,1,2018-01-31,11:11:11,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16573,10.0,2018,1,2018-01-20,11:11:11,Sin determinar,No especificado,Sin determinar,Intervención policial,No especificado
16624,50.0,2018,2,2018-02-01,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16625,40.0,2018,2,2018-02-01,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16626,10.0,2018,2,2018-02-01,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16627,50.0,2018,2,2018-02-02,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16628,10.0,2018,2,2018-02-02,11:11:11,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16629,10.0,2018,2,2018-02-03,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16630,10.0,2018,2,2018-02-03,11:11:11,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16631,10.0,2018,2,2018-02-03,11:11:11,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16632,10.0,2018,2,2018-02-03,11:11:11,Domicilio particular,No especificado,Domicilio particular,Denuncia particular,No especificado
16633,10.0,2018,2,2018-02-04,11:11:11,Otro lugar,No especificado,Bar/Boliche/Salón de fiestas/Fiesta,Denuncia particular,No especificado
16634,10.0,2018,2,2018-02-04,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16635,60.0,2018,2,2018-02-05,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16636,10.0,2018,2,2018-02-05,11:11:11,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16637,10.0,2018,2,2018-02-05,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16638,40.0,2018,2,2018-02-06,11:11:11,Sin determinar,No especificado,Sin determinar,Intervención policial,No especificado
16639,10.0,2018,2,2018-02-07,11:11:11,Vía pública,No especificado,Vía pública,Intervención policial,No especificado
16640,10.0,2018,2,2018-02-07,11:11:11,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16641,10.0,2018,2,2018-02-07,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16642,10.0,2018,2,2018-02-08,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16643,40.0,2018,2,2018-02-09,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16644,10.0,2018,2,2018-02-09,11:11:11,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16645,110.0,2018,2,2018-02-09,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16646,30.0,2018,2,2018-02-10,11:11:11,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16647,10.0,2018,2,2018-02-10,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16648,10.0,2018,2,2018-02-11,11:11:11,Comercio,No especificado,Comercio,Denuncia particular,No especificado
16649,10.0,2018,2,2018-02-11,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16650,50.0,2018,2,2018-02-11,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16651,10.0,2018,2,2018-02-11,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16652,30.0,2018,2,2018-02-11,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16653,100.0,2018,2,2018-02-12,11:11:11,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16654,30.0,2018,2,2018-02-12,11:11:11,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
16655,10.0,2018,2,2018-02-13,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16656,20.0,2018,2,2018-02-13,11:11:11,Sin determinar,No especificado,Sin determinar,Denuncia particular,No especificado
16657,50.0,2018,2,2018-02-13,11:11:11,Domicilio particular,No especificado,Domicilio particular,Denuncia particular,No especificado
16658,30.0,2018,2,2018-02-14,11:11:11,Vía pública,No especificado,Vía pública,Denuncia particular,No especificado
